Categorias (IPCC),Divisão das categorias conforme particularidades nacionais,Siglas
---,---,---
Floresta (Forest),Floresta manejada,FM
,Floresta não manejada,FNM
,Floresta secundária,FSec
,Corte seletivo,CS
,Reflorestamento,Ref
Campo (Grassland),Campo manejado,GM
,Campo não manejado,GNM
,Campo secundário,GSec
,Pastagem,Ap
,Pastagem degradada,APD
,Outras formações lenhosas manejadas,OFLM
,Outras formações lenhosas não manejadas,OFLNM
,Outras formações lenhosas secundárias,OFLSec
Agricultura (Cropland),Agricultura anual,AC
,Agricultura perene,PER
,Agricultura semiperene,CANA
Áreas Alagadas (Wetlands),Água,A
,Reservatório,Res
Assentamento (Settlements),Assentamento,S
Outras terras (Other land),Dunas manejadas,DnM
,Dunas não manejadas,DnNM
,Afloramento rochoso manejado,ArM
,Afloramento rochoso não manejado,ArNM
,Mineração,Min
,Solo exposto,SE
,Áreas não observadas,NO
---,---,---
Floresta (Forest),Floresta manejada,FM
,Floresta não manejada,FNM
,Floresta secundária,FSec
,Corte seletivo,CS
,Reflorestamento,Ref
Campo (Grassland),Campo manejado,GM
,Campo não manejado,GNM
,Campo secundário,GSec
,Pastagem,Ap
,Pastagem degradada,APD
,Outras formações lenhosas manejadas,OFLM
,Outras formações lenhosas não manejadas,OFLNM
,Outras formações lenhosas secundárias,OFLSec
Agricultura (Cropland),Agricultura anual,AC
,Agricultura perene,PER
,Agricultura semiperene,CANA
Áreas Alagadas (Wetlands),Água,A
,Reservatório,Res
Assentamento (Settlements),Assentamento,S
Outras terras (Other land),Dunas manejadas,DnM
,Dunas não manejadas,DnNM
,Afloramento rochoso manejado,ArM
,Afloramento rochoso não manejado,ArNM
,Mineração,Min
,Solo exposto,SE
,Áreas não observadas,NO
